Lisboa,2006:06:19 16:35:00,0,1,Av. E.U.A.,,Atrop.de peões
Lisboa,2006:06:19 18:30:00,0,1,Eixo N/S,,Col.tras.c/outro veíc.em mov.
Lisboa,2006:06:19 20:30:00,0,1,Av. E.U.A.,,Atrop.de peões
Lisboa,2006:06:28 02:00:00,0,3,Av.M.Teix.Rebelo/Av.G.Carride,,Colisão frontal
Lisboa,2006:06:28 18:55:00,0,1,R.Sapadores/R.Penha França,,Atrop.de peões
Lisboa,2006:06:29 17:40:00,0,1,R.D.João V,,Atrop.de peões
Lisboa,2006:06:30 00:30:00,0,1,Av.24 Julho/Av.Inf.Santo,,Atrop.de peões
Lisboa,2006:06:30 08:10:00,0,1,Av.Gen.Norton Matos,,Col.c/veic.ou obst.na f.de rod.
Lisboa,2006:06:30 14:45:00,0,1,Av.Columbano B.Pinheiro,,Atrop.de peões
Lisboa,2006:07:06 15:04:00,0,1,Av.Calouste Gulbenkian,,Col.lat.c/outro veíc.em mov.
Lisboa,2006:07:06 18:30:00,0,1,Av.Dr.Mário Moutinho,,Col.tras.c/outro veíc.em mov.
Lisboa,2006:07:10 08:00:00,1,0,Av.Ponte 25 Abril,,Desp.c/transp.do disp.de ret.lat.
Lisboa,2006:07:10 19:15:00,0,2,Pç.Espanha/Av.C.Gulbenkian,,Col.lat.c/outro veíc.em mov.
Lisboa,2006:07:12 00:30:00,0,1,Av.Ponte 25 Abril,,Desp.s/dispositivo de retenção
Lisboa,2006:07:13 04:40:00,0,2,Pç.Chile/Av.Alm.Reis,,Col.lat.c/outro veíc.em mov.
Lisboa,2006:07:14 09:00:00,0,1,R.Pde.Américo,,Atrop.de peões
Lisboa,2006:07:14 11:00:00,0,1,Av.Inf D.Henrique,,Col.c/veic.ou obs t.na f.de rod.
Lisboa,2006:07:14 16:10:00,0,2,Av.M.Teix.Rebelo/Av.C.carnide,,Col.lat.c/outro veíc.em mov.
Lisboa,2006:07:14 17:40:00,0,1,Av.24 Julho,,Atrop.de peões
Lisboa,2006:07:14 20:40:00,0,1,Av.Afonso Costa,,Atrop.de peões
Lisboa,2006:07:15 11:30:00,0,3,Av.Francisco Salgado Zenha,,Col.lat.c/outro veíc.em mov.
Lisboa,2006:07:17 07:45:00,0,1,Av.Almirante Gago Coutinho,,Atrop.de peões
Lisboa,2006:07:19 10:35:00,0,1,Av.República,,Atrop.de peões
Lisboa,2006:07:20 07:02:00,0,1,R.Leão Oliveira/R. Lusiadas,,Atrop.de peões
Lisboa,2006:07:20 16:05:00,0,1,Av.D.João II,,Atrop.de peões
Lisboa,2006:07:21 13:30:00,0,1,Av.Francisco Salgado Zenha,Col.lat.c/outro veíc.em mov.
Lisboa,2006:07:21 15:30:00,0,1,Est.Benfica,Atrop.de peões
Lisboa,2006:07:24 18:00:00,0,1,R. Gonçalves Zarco/R.Tristão Vaz,Colisão frontal
Lisboa,2006:07:25 20:30:00,0,1,R.Manuel Marques,Col.lat.c/outro veíc.em mov.
Lisboa,2006:07:26 13:15:00,0,1,R.Cint.Porto Lisboa/R.3 Matinha,Atrop.de peões
Concelho,Datahora,M,FG,,Via,km,Natureza
Lisboa,2006:07:29 20:00:00,0,1,Av.Lusiada,,,Desp.c/transp.do disp.de ret.lat.
Lisboa,2006:07:31 18:10:00,0,1,b boavista,,,Colisão com outras situações
Lisboa,2006:08:04 08:30:00,0,1,Av.Berlim,,,Atrop.de peões
Lisboa,2006:08:04 23:55:00,0,2,Av.Inf D.Henr./Av M.Ant.Spinola,,,Col.lat.c/outro veíc.em mov.
Lisboa,2006:08:09 19:00:00,0,1,Campo Grande/av brasil,,,Col.lat.c/outro veíc.em mov.
Lisboa,2006:08:10 20:50:00,0,1,R Cintura Porto Lisboa,,,Despiste simples
Lisboa,2006:08:16 04:40:00,0,1,Av.Cidade Porto,,,Col.lat.c/outro veíc.em mov.
Lisboa,2006:08:16 17:00:00,0,2,R.Poços Negros,,,Atrop.de peões
Lisboa,2006:08:17 16:00:00,0,1,Av.D.João II,,,Atrop.de peões
Lisboa,2006:08:18 06:30:00,0,3,Estrada do Alvito,,,Colisão frontal
Lisboa,2006:08:25 22:30:00,0,1,Av.Gen.Norton Matos,,,Colisão choque em cadeia
Lisboa,2006:08:27 19:15:00,0,1,Av.República,,,Col.c/veic.ou obst.na f.de rod.
Lisboa,2006:08:30 10:20:00,0,1,R.Eduardo Covas,,,Atrop.de peões
Lisboa,2006:09:01 15:00:00,0,1,Av.24 Julho,,,Despiste simples
Lisboa,2006:09:01 15:15:00,0,1,Av.Sto. Condestavel,,,Atrop.de peões
Lisboa,2006:09:05 19:45:00,0,1,Av.5 Outubro/Av.João Crisóstemo,,,Colisão frontal
Lisboa,2006:09:07 14:10:00,0,1,R.Marques Fronteira,,,Atrop.de peões
Lisboa,2006:09:08 12:30:00,0,1,R.Alexandre Herculano,,,Colisão frontal
Lisboa,2006:09:09 15:30:00,0,1,Av.Mar.Gomes da Costa,,,Col.tras.c/outro veíc.em mov.
Lisboa,2006:09:10 23:20:00,0,1,Av.Gen.Norton Matos,,,Atrop.de peões
Lisboa,2006:09:12 11:15:00,0,1,R.Cruzeiro/R Eduardo Bairrada,,,Atropelamento com fuga
Lisboa,2006:09:12 17:15:00,0,2,R.Marques Fronteira,,,Atrop.de peões
Lisboa,2006:09:13 08:40:00,0,1,Passeio Báltico,,,Col.lat.c/outro veíc.em mov.
Lisboa,2006:09:14 13:40:00,0,1,Av.G.Norton Matos/Torres Lisboa,,,Atrop.de peões
Lisboa,2006:09:15 19:05:00,0,1,R Dr.José Espirito Santo,,,Col.lat.c/outro veíc.em mov.
Lisboa,2006:09:16 00:05:00,0,1,Av.Cidade Porto,,,Desp.c/col.c/ veíc.imob.ou obst.
Lisboa,2006:09:16 04:30:00,0,1,Av.Inf D.Henrique/r bispo cochim,,,Col.c/veic.ou obst.na f.de rod.
Lisboa,2006:09:20 20:00:00,0,2,Av.Berlim,,,Col.c/veic.ou obst.na f.de rod.
Lisboa,2006:09:23 07:00:00,0,1,Viaduto Duarte Pacheco,,,Despiste simples
Lisboa,2006:09:28 13:55:00,0,1,Av.24 Julho,,,Despiste simples
Lisboa,2006:09:29 09:40:00,0,1,Eixo N/S,,,Colisão choque em cadeia
