Concelho,Datahora,M,FG,,Via,Km,Natureza
Cartaxo,20-11-2011 16:30,0,1,A1,,"50,435",Despiste com capotamento
Cartaxo,08-04-2011 07:35,0,1,A1,,"58,092",Despiste com transposição do dispositivo...
Cartaxo,07-11-2011 17:02,1,0,EM512,,-,Colisão traseira com outro veículo em m...
Cartaxo,14-12-2011 14:30,0,1,EM514,,-,Colisão com outras situações
Cartaxo,29-04-2011 09:15,0,1,EN3,,"20,800",Colisão lateral com outro veículo em mov...
Cartaxo,23-10-2011 20:50,0,1,EN3,,"26,800",Despiste simples
Cartaxo,01-09-2011 00:55,0,2,EN3,,"28,530",Colisão frontal
Cartaxo,23-08-2011 17:00,0,1,EN3-2,,"4,750",Colisão com outras situações
Cartaxo,11-03-2011 17:45,0,1,EN3-3,,"5,100",Despiste simples
Cartaxo,06-07-2011 16:25,1,0,Estrada das Sesma...,,-,Despiste com capotamento
Cartaxo,06-04-2011 20:00,0,1,R 25 DE ABRIL,,-,Despiste simples
Cartaxo,27-06-2011 21:30,0,1,R CAMARAO 14,,-,Atropelamento de peões
Cartaxo,13-11-2011 00:05,0,2,Rua Batalhós 0,,-,Despiste com colisão com veículo imobil. ...
Cartaxo,21-04-2011 04:25,0,1,Rua Serpa Pinto 0,,-,Despiste com colisão com veículo imobil. ...
Cartaxo,21-10-2011 19:10,0,1,Rua Serpa Pinto 49-A,,-,Atropelamento de peões
"",-,-,-,-,,-,-
Cartaxo,,23-09-2011 09:15,0,1,VAR-EN365-,"3,547",Colisão com outras situações
Chamusca,,29-10-2011 20:15,0,1,EM574,-,Despiste simples
Chamusca,,13-08-2011 15:20,1,0,EN118,"96,900",Despiste com colisão com veículo imobil. ...
Chamusca,,24-03-2011 09:35,0,1,EN118,"101,700",Colisão traseira com outro veículo em m...
Chamusca,,21-06-2011 22:50,0,2,EN118,"107,900",Colisão com veiculo ou obstáculo na faix...
Chamusca,,03-03-2011 06:00,1,0,EN118,"114,800",Despiste com capotamento
Chamusca,,13-04-2011 18:45,1,0,R DIREITA DE S P...,-,Colisão traseira com outro veículo em m...
Coruche,,21-02-2011 13:30,0,1,-,-,Colisão frontal
Coruche,,02-07-2011 21:20,0,1,EM1425,-,Despiste com capotamento
Coruche,,24-12-2011 14:00,0,1,EM515,-,Colisão lateral com outro veículo em mov...
Coruche,,07-01-2011 17:30,0,1,EM580,-,Colisão frontal
